category,id,time-to-incapacitation,1000/tti,CO,HCN,H2S,HCl,HBr,NO2,SO2
1,20,2.36,423.7,164,6.4,0,0,0,0.26,0
1,14,2.38,420.2,174,7.5,0,0,5,1.07,0
1,1,2.61,383.1,96,4.7,0,33,5,0.08,0
1,2,3.07,325.7,101,7.5,0,0,7.1,0.43,0
1,61,3.07,325.7,142,6.8,0,27.6,0,0.25,0
1,144,3.19,313.5,143,8.2,0,0,5.5,0.33,0
1,43,3.7,270.3,147,5.2,0,11.3,0,0.37,0
1,37,3.9,256.4,156,4.7,0,12,2.6,0.39,0
1,46,4.18,239.2,124,3.2,0,23.3,0,0.2,0
1,50,4.7,212.8,101,8.9,0.9,5.4,8,0.63,0
1,69,4.86,205.8,142,4.6,0,19.4,4.1,0.19,0
1,67,5.58,179.2,104,3.4,0,80,0,0.15,0.4
1,12,5.85,170.9,90,2.3,0,34.4,0,0.09,1.2
2,40,3.22,310.6,159,16.4,0,0,5.3,2,0
2,15,3.89,257.1,153,2.9,0,0,6.6,0.15,0
2,38,4.79,208.8,161,0.6,0,0,0,0.62,0
2,6,5.07,197.2,159,0,0,4.6,1.7,0.04,0
2,6.1,5.22,191.6,162,0,0,22,0,0.04,0
2,42,5.82,171.8,106,3.2,0,45.2,15.6,0.08,0
2,39,6.09,164.2,124,1.5,0,0,0,0.85,0
2,41,8.36,119.6,89,0.7,0,0,5.3,0.29,0
2,18,13.02,76.8,88,0,0,0,0,0.02,0
3,73,4.29,233.1,129,6,0,4.2,0,0.02,0.7
3,79,4.8,208.3,105,5.8,0,0,0,0.03,0
3,74,5.04,198.4,108,7.8,0,7.3,0,0.04,0
3,143.1,5.06,197.6,120,11.6,0,23,0,0.02,0
3,102,5.25,190.5,149,0,0,8.6,0,0,0
3,86,5.5,181.8,28,9.1,0.4,56.2,0,0,2.2
3,104,5.55,180.2,83,5,0,0,0,0.02,0
3,80,7.55,132.5,68,5.5,0,27.3,0,0.01,0.9
3,143.3,9.58,104.4,28,2.4,2,137,0,0,16.6
4,127,1.15,869.6,88,62.4,0,182,0,0.52,2.1
4,88,2,500,89,41.7,13.4,0,0,0,0.3
4,92,2.15,465.1,63,14.9,0,0,9.6,1.6,8.5
4,142,2.22,450.5,112,37.2,14.2,0,20.5,0,1.5
4,78,2.23,448.4,96,7,0,43.1,0,0.53,11.2
4,70,2.72,367.6,78,33.8,13.9,0,0,0,0
4,130,2.93,341.3,348,1.9,0,28,7.1,1,1.8
4,93,3.07,325.7,255,1.9,0,0,0,0.57,0
4,82,3.47,288.2,112,19.5,10.7,88,0,0.03,4.8
4,95,4.18,239.2,144,3.8,0,14.5,5.1,0.39,0.9
4,96,4.64,215.5,70,11.2,6.2,205,0,0.04,4.9
4,81,7.57,132.1,92,0,0.3,536,0,0.01,3
5,97,6.97,143.5,114,0,0,114,0,0,0
5,84,7.47,133.9,103,0,0,221,0,0,0
5,89,10.7,93.5,70,0,0,259,0,0.02,1.4
5,136,13.71,72.9,56,0,0,220,0,0.01,0.9
6,9,4.94,202.4,94,6.7,0,0,0,0.32,0
6,33,5.26,190.1,55,14.9,5.3,21.9,0,0,2.2
6,34,5.53,180.8,46,13.5,6.1,24.9,0,0,2.5
6,56,7.46,134,77,3.1,0,158,0,0.04,0
6,52,9.84,101.6,52,4.1,0.7,19,0,0.01,1.4
6,24,10.9,91.7,41,2.4,0,82,0,0,0
7,32,3.7,270.3,398,0,0,0,21,0,0
7,111,3.8,263.2,345,0,0,0,15.5,0.01,0
7,116,3.83,261.1,406,0,0,0,47,0,0
7,113,4.04,247.5,342,0,0,23,10.3,0.04,0
7,117,5.19,192.7,196,0,0,0,0,0,0
7,99,6.01,166.4,148,0,0.2,387,0,0.01,1.9
7,108,7.56,132.3,86,0,0,0,47,0,0
7,100,9.41,106.3,54,2.2,0,197,0,0,2.6
7,107,9.59,104.3,55,1.7,0,321,0,0,1.1
7,85,10.79,92.7,55,4.1,0,162,0,0.02,2.9
8,27,3.7,270.3,0,15,0,0,0,0.34,0
8,10,3.99,250.6,90,8.6,0,88,0,0.59,0
8,28,6.56,152.4,37,3.1,0,27.7,0,0.01,0
8,26,7.68,130.2,66,0,0,105,0,0,0
8,112,9.16,109.2,45,0,0,0,0,0.01,0
8,60,10.33,96.8,62,0,0,61,0,0.01,0
8,115.1,12.26,81.6,31,2.7,0,0,0,0.22,0
8,123,14.96,66.8,9,0,0,0,0,0.01,0
